item_nbr time sensor_speed sigma
1 "06:00:00 AM" 40 5
2 "06:10:00 AM" 38 6
3 "06:20:00 AM" 36 8
4 "06:30:00 AM" 35 3
5 "06:40:00 AM" 36 5
6 "06:50:00 AM" 30 4
7 "07:00:00 AM" 28 6
8 "07:10:00 AM" 26 4
9 "07:20:00 AM" 24 5
10 "07:30:00 AM" 21 3
11 "07:40:00 AM" 20 6
12 "07:50:00 AM" 20 6
13 "08:00:00 AM" 20 7
14 "08:10:00 AM" 21 9
15 "08:20:00 AM" 22 4
16 "08:30:00 AM" 21 6
17 "08:40:00 AM" 21 5
18 "08:50:00 AM" 21 7
19 "09:00:00 AM" 22 5
20 "09:10:00 AM" 23 6
21 "09:20:00 AM" 28 4
22 "09:30:00 AM" 30 7
23 "09:40:00 AM" 33 7
24 "09:50:00 AM" 34 8
25 "10:00:00 AM" 38 10
26 "10:10:00 AM" 36 5
27 "10:20:00 AM" 34 7
28 "10:30:00 AM" 35 6
29 "10:40:00 AM" 39 8
30 "10:50:00 AM" 37 6
31 "11:00:00 AM" 35 7
32 "11:10:00 AM" 40 5
33 "11:20:00 AM" 41 8
34 "11:30:00 AM" 42 8
35 "11:40:00 AM" 45 9
36 "11:50:00 AM" 36 11
37 "12:00:00 PM" 41 6
38 "12:10:00 PM" 42 8
39 "12:20:00 PM" 43 7
40 "12:30:00 PM" 46 9
41 "12:40:00 PM" 37 7
42 "12:50:00 PM" 42 8
43 "01:00:00 PM" 41 6
44 "01:10:00 PM" 38 9
45 "01:20:00 PM" 38 5
46 "01:30:00 PM" 43 6
47 "01:40:00 PM" 42 8
48 "01:50:00 PM" 39 3
49 "02:00:00 PM" 39 5
50 "02:10:00 PM" 44 4
51 "02:20:00 PM" 43 6
52 "02:30:00 PM" 40 4
53 "02:40:00 PM" 40 5
54 "02:50:00 PM" 45 3
55 "03:00:00 PM" 44 6
56 "03:10:00 PM" 41 6
57 "03:20:00 PM" 41 7
58 "03:30:00 PM" 46 9
59 "03:40:00 PM" 45 4
60 "03:50:00 PM" 42 6
61 "04:00:00 PM" 38 5
62 "04:10:00 PM" 37 7
63 "04:20:00 PM" 35 5
64 "04:30:00 PM" 39 6
65 "04:40:00 PM" 38 4
66 "04:50:00 PM" 36 7
67 "05:00:00 PM" 40 7
68 "05:10:00 PM" 28 8
69 "05:20:00 PM" 23 10
70 "05:30:00 PM" 27 5
71 "05:40:00 PM" 21 7
72 "05:50:00 PM" 30 6
73 "06:00:00 PM" 26 8
74 "06:10:00 PM" 29 6
75 "06:20:00 PM" 30 7
76 "06:30:00 PM" 32 5
77 "06:40:00 PM" 34 8
78 "06:50:00 PM" 35 8
79 "07:00:00 PM" 34 9
80 "07:10:00 PM" 38 5
81 "07:20:00 PM" 41 6
82 "07:30:00 PM" 45 8
83 "07:40:00 PM" 44 3
84 "07:50:00 PM" 42 5
85 "08:00:00 PM" 39 4
86 "08:10:00 PM" 47 6
87 "08:20:00 PM" 44 4
88 "08:30:00 PM" 43 5
89 "08:40:00 PM" 46 3
90 "08:50:00 PM" 45 6
91 "09:00:00 PM" 41 5
92 "09:10:00 PM" 40 6
93 "09:20:00 PM" 57 8
94 "09:30:00 PM" 54 3
95 "09:40:00 PM" 53 5
96 "09:50:00 PM" 58 4
97 "10:00:00 PM" 60 6
